"","region","state","year","abundance","simpson","richness","evenness","encs"
"542","north_east","chihuahua",2003,2.04252802296011,0.803856608980499,47,0.530506420598762,7.71007583119029
"543","north_east","chihuahua",2004,1.83156713388424,0.723017000899594,47,0.475713485132555,6.24366365246609
"544","north_east","chihuahua",2005,2.073221051366,0.812839066606645,48,0.535549832086806,7.95039053505505
"545","north_east","chihuahua",2006,1.91620520065201,0.78693935454155,48,0.494989848177016,6.79512335108688
"546","north_east","chihuahua",2007,1.77059270669756,0.718416250056134,45,0.465129942950207,5.87433408691307
"547","north_east","chihuahua",2008,1.92167694250899,0.787787361379396,42,0.514137721833097,6.8324064205953
"548","north_east","chihuahua",2009,1.90348102612,0.78646444785537,41,0.512574144766574,6.70920877081901
"549","north_east","chihuahua",2010,1.82438257759546,0.762207181675435,42,0.488106966081544,6.19896645653105
"550","north_east","chihuahua",2011,2.0754015278074,0.826947494244157,40,0.562610286842758,7.96774508803765
"551","north_east","chihuahua",2012,1.82298719969448,0.762783826485768,42,0.487733637766448,6.1903225878629
"552","north_east","chihuahua",2013,1.86971071519248,0.770287615100239,43,0.497104822312201,6.48641970517433
"553","north_east","chihuahua",2014,1.80688048767812,0.750580207519043,43,0.48039998726442,6.09141551675485
"554","north_east","chihuahua",2015,1.87815193189781,0.765537491189255,45,0.493385462185046,6.54140472328199
"555","north_east","chihuahua",2016,1.81809162581784,0.751543597857159,44,0.480444111342098,6.1600914660371
"556","north_east","coahuila",1980,2.08863692671163,0.830321740513028,35,0.587463418655178,8.07390233975448
"557","north_east","coahuila",1981,2.00864778201094,0.803035983373036,36,0.560523836069449,7.45323213558318
"558","north_east","coahuila",1982,2.15760228600845,0.835783731566931,36,0.602090381846289,8.65037165579337
"559","north_east","coahuila",1983,2.08844077957453,0.811958859622609,35,0.587408249053297,8.07231882223159
"560","north_east","coahuila",1984,2.21763832222558,0.837921758416507,40,0.601168552621694,9.18561177405767
"561","north_east","coahuila",1985,2.31565373632366,0.858012659760416,44,0.611928566044393,10.1315441126512
"562","north_east","coahuila",1986,2.23659919524043,0.83612869584284,48,0.577753309357575,9.36144065932797
"563","north_east","coahuila",1987,2.18503190903239,0.817568644125051,47,0.567518997989038,8.89093224989026
"564","north_east","coahuila",1988,2.24346908359001,0.846110463391579,44,0.592853239563223,9.42597412649941
"565","north_east","coahuila",1989,2.35377940797226,0.872048383400101,45,0.618331521194116,10.5252739525154
"566","north_east","coahuila",1990,2.14547766057239,0.815572815015895,42,0.574014795228949,8.54612240823053
"567","north_east","coahuila",1991,2.18538187898191,0.833579224301389,45,0.574093943146972,8.89404435354055
"568","north_east","coahuila",1992,2.09827659783097,0.796264685183865,48,0.542022124895775,8.15210843789597
"569","north_east","coahuila",1993,2.18486437142674,0.827025874853099,45,0.573957995303799,8.88944280916125
"570","north_east","coahuila",1994,2.0220969074616,0.801863481465226,42,0.541004720580495,7.55414868813957
"571","north_east","coahuila",1995,2.12735913551838,0.835002093855578,46,0.555643351051157,8.39267360608239
"572","north_east","coahuila",1996,2.17236322918802,0.834303264725478,50,0.555304308326856,8.77900634936095
"573","north_east","coahuila",1997,2.16298246219567,0.83602350602572,49,0.5557765509486,8.69703760232653
"574","north_east","coahuila",1998,2.07068701638116,0.820143169319846,45,0.54396391115465,7.93026947180224
"575","north_east","coahuila",1999,2.03618798130298,0.826625461856392,42,0.544774736467519,7.66134825987838
"576","north_east","coahuila",2000,2.0912705474189,0.811385185933429,44,0.552633654686468,8.09519396086553
"577","north_east","coahuila",2001,2.16084791942524,0.827032299518465,43,0.574510223587712,8.67849320253661
"578","north_east","coahuila",2002,2.18247349461112,0.829000956664086,40,0.591635894248906,8.86821463353369
"579","north_east","coahuila",2003,1.93240438403202,0.743248561634493,40,0.523845901734997,6.90609520030965
"580","north_east","coahuila",2004,1.92947591069419,0.751885841732867,40,0.523052036450362,6.88590046894568
"581","north_east","coahuila",2005,2.05042861443173,0.80444266472736,38,0.563678363727324,7.77123125444898
"582","north_east","coahuila",2006,2.081106024198,0.815096384661036,35,0.585345228710513,8.01332694830467
"583","north_east","coahuila",2007,1.98933681344878,0.784145114114255,41,0.535693606510311,7.31068380709369
"584","north_east","coahuila",2008,2.07288059496636,0.808440073028406,36,0.578448343811299,7.9476842344326
"585","north_east","coahuila",2009,2.20536307338808,0.844609710673191,33,0.630733105711668,9.07354533272694
"586","north_east","coahuila",2010,1.92576957822648,0.779889873111193,36,0.537396232948655,6.86042626955568
"587","north_east","coahuila",2011,2.12424659389047,0.856314741264119,27,0.64452419226252,8.36659167172385
"588","north_east","coahuila",2012,2.10621241627447,0.846797818772216,31,0.613343117156505,8.21705946931819
"589","north_east","coahuila",2013,1.9803232542517,0.791282299294194,33,0.5663717922638,7.24508461107481
